"Mun";"entrada/abril/202006.zip";"entrada/maio/202006.zip";"Diff";"Percent"
"ESTADO - PE";920565669,36;926958558,36;6392889,00;0,69
"ESTADO - PI";407826159,40;427125445,40;19299286,00;4,73
