"Mun";"entrada/abril/201403.zip";"entrada/maio/201403.zip";"Diff";"Percent"
"BRASILIA - DF";476596765,82;479875170,44;3278404,62;0,69
"RIO DE JANEIRO - RJ";257129797,06;257349797,06;220000,00;0,09
