"Mun","entrada/abril/201402.zip","entrada/maio/201402.zip","Diff","Percent"
"BRASILIA - DF",-4904358.26,-5404358.26,-500000.00,10.20
"RESENDE - RJ",9001066.25,9000618.39,-447.86,-0.00
