"Mun";"entrada/abril/201604.zip";"entrada/maio/201604.zip";"Diff";"Percent"
"BRASILIA - DF";53982375,79;55138103,79;1155728,00;2,14
"DUQUE DE CAXIAS - RJ";28414068,65;33414068,65;5000000,00;17,60
