"Mun","entrada/abril/202007.zip","entrada/maio/202007.zip","Diff","Percent"
"BRASILIA - DF",91651990.34,82595470.34,-9056520.00,-9.88
"ESTADO - SEM ESTADO",18404863843.78,18401041692.42,-3822151.36,-0.02
"ESTADO - CE",842360903.28,828745860.28,-13615043.00,-1.62
