"Mun","entrada/abril/201611.zip","entrada/maio/201611.zip","Diff","Percent"
"BRASILIA - DF",75545732.92,213545732.92,138000000.00,182.67
"MAUA - SP",18567728.56,18567728.56,-0.00,-0.00
"PALMITAL - SP",2757067.78,2757067.78,0.00,0.00
"ARACATUBA - SP",10804932.29,10804932.29,-0.00,-0.00
"CAPIVARI - SP",4126497.46,4126497.46,-0.00,-0.00
