"Mun","entrada/abril/202012.zip","entrada/maio/202012.zip","Diff","Percent"
"ESTADO - TO",484464175.94,495786322.94,11322147.00,2.34
"SANTA TEREZA - RS",1138584.50,1141444.50,2860.00,0.25
"ESTADO - RS",812861899.87,819442017.87,6580118.00,0.81
"ESTADO - SC",311580931.55,329197690.55,17616759.00,5.65
