"Mun","entrada/abril/201410.zip","entrada/maio/201410.zip","Diff","Percent"
"BRASILIA - DF",501103213.11,503103213.11,2000000.00,0.40
"ESTADO - SEM ESTADO",97800697.33,97800697.48,0.15,0.00
"SAO PAULO - SP",368008492.07,371600711.35,3592219.28,0.98
"BELO HORIZONTE - MG",181773580.78,181773655.78,75.00,0.00
