"Mun";"entrada/marco/201906.zip";"entrada/abril/201906.zip";"Diff";"Percent"
"TERRA NOVA - BA";1391664,57;1385064,57;-6600,00;-0,47
"TARTARUGALZINHO - AP";1620131,46;1610491,46;-9640,00;-0,60
"MALHADA - BA";2106985,13;2097435,13;-9550,00;-0,45
"PALMEIRA DAS MISSOES - RS";2415478,48;2375631,24;-39847,24;-1,65
"ALTO ARAGUAIA - MT";1491469,97;1483289,97;-8180,00;-0,55
"TRES DE MAIO - RS";1961166,82;1945183,33;-15983,49;-0,81
"VIAMAO - RS";8444408,85;8514198,85;69790,00;0,83
"PORTO UNIAO - SC";1952871,84;1905758,89;-47112,95;-2,41
"ACARAU - CE";6249795,82;6246345,82;-3450,00;-0,06
"CAPINZAL DO NORTE - MA";2842175,42;2840255,42;-1920,00;-0,07
"VESPASIANO - MG";6716466,41;6711976,41;-4490,00;-0,07
"FORMOSA DO OESTE - PR";708806,40;707576,40;-1230,00;-0,17
"CANGUCU - RS";4151874,21;4080867,35;-71006,86;-1,71
"TRES COROAS - RS";1803833,90;1768134,48;-35699,42;-1,98
"CUBATAO - SP";13769096,81;13762396,81;-6700,00;-0,05
"PLANALTO - RS";1184720,86;1174561,67;-10159,19;-0,86
"PORTO XAVIER - RS";1047550,57;1042685,29;-4865,28;-0,46
"SANTA RITA DO SAPUCAI - MG";2634253,51;2602172,67;-32080,84;-1,22
"COLINAS - MA";5354329,69;5342719,69;-11610,00;-0,22
"SANANDUVA - RS";1173250,83;1169920,83;-3330,00;-0,28
"PRAIA GRANDE - SP";15299231,74;15282681,74;-16550,00;-0,11
"BORBA - AM";3511706,35;3508986,35;-2720,00;-0,08
"PINHAIS - PR";5836656,13;5825198,86;-11457,27;-0,20
"FERRAZ DE VASCONCELOS - SP";6150098,03;6142238,03;-7860,00;-0,13
"ILHA SOLTEIRA - SP";1803016,31;1798266,31;-4750,00;-0,26
"CAMPINAPOLIS - MT";1803943,49;1800843,49;-3100,00;-0,17
"LIMEIRA - SP";12634371,47;12597031,47;-37340,00;-0,30
"SAO JOSE DO RIO PRETO - SP";19278203,22;19172653,22;-105550,00;-0,55
"PASSA E FICA - RN";1481032,00;1476332,00;-4700,00;-0,32
"BRAUNAS - MG";690739,56;685509,56;-5230,00;-0,76
"PIRATUBA - SC";622655,11;619715,11;-2940,00;-0,47
"NAZARE PAULISTA - SP";1426322,35;1423522,35;-2800,00;-0,20
"ITAPIRAPUA - GO";938966,47;933456,47;-5510,00;-0,59
"BOM SUCESSO - MG";2050430,79;2039491,72;-10939,07;-0,53
"GOIOERE - PR";2417996,79;2409926,79;-8070,00;-0,33
"CRICIUMA - SC";16426738,91;16421438,91;-5300,00;-0,03
"COXIXOLA - PB";626059,49;623729,49;-2330,00;-0,37
"BELEM - PA";111973133,82;78084263,76;-33888870,06;-30,27
"REGISTRO - SP";3876137,17;3813248,27;-62888,90;-1,62
"SAO JOAO DA PARAUNA - GO";599417,54;597537,54;-1880,00;-0,31
"PAUDALHO - PE";7945179,90;7936299,90;-8880,00;-0,11
"AMPARO - SP";5175116,91;5157356,91;-17760,00;-0,34
"CUIABA - MT";79471894,17;42521907,66;-36949986,51;-46,49
"SAO JOSE DO OURO - RS";670299,44;645196,50;-25102,94;-3,75
"SAO JOAQUIM DA BARRA - SP";2836443,94;2831953,94;-4490,00;-0,16
"ITAJAI - SC";18256824,28;18248754,28;-8070,00;-0,04
"CORONEL FABRICIANO - MG";6228867,88;6224477,88;-4390,00;-0,07
"IPIXUNA - AM";1966426,89;1955246,89;-11180,00;-0,57
"PORTO LUCENA - RS";783310,43;781355,79;-1954,64;-0,25
"FORTALEZA - CE";236790011,30;178627283,87;-58162727,43;-24,56
"TAPIRATIBA - SP";1066114,75;1060544,75;-5570,00;-0,52
"GURINHATA - MG";803867,38;800247,38;-3620,00;-0,45
"BRASILIA - DF";92524614,12;29092639,35;-63431974,77;-68,56
"IBIRACU - ES";1144020,15;1137520,15;-6500,00;-0,57
"SENADOR FIRMINO - MG";959391,72;951501,72;-7890,00;-0,82
"SAO GABRIEL - RS";3760858,42;3695968,66;-64889,76;-1,73
"MARILIA - SP";15137840,97;15128450,97;-9390,00;-0,06
