"Mun","./backup/202008.zip","novo/202008.zip","Diff","Percent"
"SERRA DA RAIZ - PB",838236.48,838236.48,-0.00,-0.00
"MALHADA - BA",3244007.26,3244007.26,-0.00,-0.00
"PALMEIRA DAS MISSOES - RS",4550424.12,4459796.28,-90627.84,-1.99
"TRES DE MAIO - RS",4112222.93,4096239.44,-15983.49,-0.39
"VIAMAO - RS",17740633.85,17439268.63,-301365.22,-1.70
"PORTO UNIAO - SC",3878656.16,3838233.21,-40422.95,-1.04
"SOBRAL - CE",51120162.26,51116792.26,-3370.00,-0.01
"ACARAU - CE",12383812.53,12383692.53,-120.00,-0.00
"COXILHA - RS",954201.33,939992.93,-14208.40,-1.49
"LAGOA DE DENTRO - PB",1882733.13,1882733.13,0.00,0.00
"SAO MIGUEL ARCANJO - SP",4442523.14,4442523.14,0.00,0.00
"DOIS IRMAOS - RS",3270871.31,3250971.31,-19900.00,-0.61
"RUY BARBOSA - BA",4853394.61,4853394.61,0.00,0.00
"TRES COROAS - RS",3309297.94,3281908.52,-27389.42,-0.83
"BETIM - MG",44730707.32,44726815.32,-3892.00,-0.01
"PLANALTO - RS",1992565.38,1984126.19,-8439.19,-0.42
"VISTA GAUCHA - RS",1129510.48,1127059.48,-2451.00,-0.22
"PORTO XAVIER - RS",1626047.38,1609816.10,-16231.28,-1.00
"SANTA RITA DO SAPUCAI - MG",3973821.17,3958810.24,-15010.93,-0.38
"GUARANI DAS MISSOES - RS",1676703.99,1617245.19,-59458.80,-3.55
"COLINAS - MA",8238979.41,8225899.41,-13080.00,-0.16
"SANANDUVA - RS",2426792.05,2368340.05,-58452.00,-2.41
"SANTA QUITERIA DO MARANHAO - MA",5921827.27,5921827.27,-0.00,-0.00
"TRIUNFO - PE",2736717.86,2716824.66,-19893.20,-0.73
"SAO FELIX DO PIAUI - PI",1146175.69,1131443.69,-14732.00,-1.29
"LIMEIRA - SP",31715219.67,31688317.67,-26902.00,-0.08
"BOM SUCESSO - MG",2544391.36,2533452.29,-10939.07,-0.43
"GENERAL CARNEIRO - PR",2281050.09,2281050.09,-0.00,-0.00
"BELEM - PA",407124646.90,135661564.71,-271463082.19,-66.68
"ALTO RIO DOCE - MG",2248675.61,2232085.61,-16590.00,-0.74
"VARZEA GRANDE - MT",30377862.36,30367074.36,-10788.00,-0.04
"MURICI - AL",7762558.17,7762558.17,0.00,0.00
"REGISTRO - SP",9139290.03,9054407.31,-84882.72,-0.93
"JURAMENTO - MG",1004600.95,994760.95,-9840.00,-0.98
"APUI - AM",2852808.26,2852808.26,0.00,0.00
"CUIABA - MT",133394502.26,109783072.78,-23611429.48,-17.70
