"Mun";"entrada/marco/201608.zip";"entrada/abril/201608.zip";"Diff";"Percent"
"TARTARUGALZINHO - AP";1434485,27;1431635,27;-2850,00;-0,20
"PALMEIRA DAS MISSOES - RS";1758419,35;1660499,26;-97920,09;-5,57
"ALTO ARAGUAIA - MT";1268086,74;1253206,74;-14880,00;-1,17
"BACABEIRA - MA";1765394,48;1759764,48;-5630,00;-0,32
"NOSSA SENHORA DA GLORIA - SE";2583140,39;2576980,39;-6160,00;-0,24
"TRES DE MAIO - RS";1385459,45;1344805,59;-40653,86;-2,93
"VIAMAO - RS";6873142,14;7042552,98;169410,84;2,46
"ITAPEMIRIM - ES";21032551,64;21026051,64;-6500,00;-0,03
"NOVO CRUZEIRO - MG";1787560,07;1771323,19;-16236,88;-0,91
"SAO MIGUEL ARCANJO - SP";1702759,90;1695259,90;-7500,00;-0,44
"LARANJEIRAS - SE";2392192,87;2386892,87;-5300,00;-0,22
"CANGUCU - RS";2589599,80;2399382,26;-190217,54;-7,35
"TRES COROAS - RS";1422694,06;1386116,94;-36577,12;-2,57
"MARMELEIRO - PR";1220729,78;1213229,78;-7500,00;-0,61
"COLORADO DO OESTE - RO";1110443,90;1095373,90;-15070,00;-1,36
"SANTA RITA DO SAPUCAI - MG";1934331,89;1906852,72;-27479,17;-1,42
"SANTO EXPEDITO DO SUL - RS";464657,20;462357,20;-2300,00;-0,49
"COLINAS - MA";5091624,97;5083054,97;-8570,00;-0,17
"SANANDUVA - RS";1535272,32;1528246,81;-7025,51;-0,46
"PRAIA GRANDE - SP";12092250,68;12084250,68;-8000,00;-0,07
"TERESOPOLIS - RJ";9136386,73;9118876,73;-17510,00;-0,19
"SAO MATEUS - ES";6482342,64;6475842,64;-6500,00;-0,10
"AURORA - CE";2298017,88;2294537,88;-3480,00;-0,15
"GUARANTA DO NORTE - MT";1820925,64;1815165,64;-5760,00;-0,32
"SAO JOSE DO RIO PRETO - SP";16236010,99;15701669,06;-534341,93;-3,29
"GONGOGI - BA";858064,98;854474,98;-3590,00;-0,42
"CASTANHEIRAS - RO";417299,91;411189,91;-6110,00;-1,46
"ITAPIRAPUA - GO";601701,07;599241,07;-2460,00;-0,41
"SAO LUDGERO - SC";705820,65;699320,65;-6500,00;-0,92
"GENERAL CARNEIRO - PR";1051588,64;1044088,64;-7500,00;-0,71
"BELEM - PA";93621094,51;62704112,07;-30916982,44;-33,02
"LAJINHA - MG";1281887,69;1275300,33;-6587,36;-0,51
"VARZEA GRANDE - MT";8981885,77;8959477,77;-22408,00;-0,25
"REGISTRO - SP";2859298,49;2789989,59;-69308,90;-2,42
"AMPARO - SP";4092530,83;4086030,83;-6500,00;-0,16
"PEDRA AZUL - MG";1716270,26;1706870,55;-9399,71;-0,55
"BAEPENDI - MG";1280283,81;1251217,28;-29066,53;-2,27
"CUIABA - MT";67361520,84;36005076,55;-31356444,29;-46,55
"SAO JOSE DO OURO - RS";741522,72;717438,07;-24084,65;-3,25
"IBIUNA - SP";2851655,30;2844155,30;-7500,00;-0,26
"JAPERI - RJ";5878566,85;5875056,85;-3510,00;-0,06
"PORTO LUCENA - RS";490744,18;487216,86;-3527,32;-0,72
"FORTALEZA - CE";208609886,95;155820053,19;-52789833,76;-25,31
"GURINHATA - MG";678648,17;676918,17;-1730,00;-0,25
"GUARAPARI - ES";4835671,52;4828171,52;-7500,00;-0,16
"BRASILIA - DF";246726468,99;186770672,67;-59955796,32;-24,30
"CONDOR - RS";545177,68;543964,67;-1213,01;-0,22
"SEROPEDICA - RJ";4629881,50;4621911,50;-7970,00;-0,17
"SARANDI - RS";2427360,43;2422599,99;-4760,44;-0,20
"SANTA CRUZ DO SUL - RS";9621248,60;9614748,60;-6500,00;-0,07
"URUBURETAMA - CE";1981211,25;1976671,25;-4540,00;-0,23
"SAO SEBASTIAO DO CAI - RS";1364928,44;1356413,36;-8515,08;-0,62
"CANDEIAS - BA";6260640,45;6254070,45;-6570,00;-0,10
"ARAME - MA";2930176,78;2923356,78;-6820,00;-0,23
"PARAISOPOLIS - MG";1165237,22;1157389,97;-7847,25;-0,67
"UBA - MG";4349517,28;3786507,63;-563009,65;-12,94
"ITARANTIM - BA";1698576,02;1691776,02;-6800,00;-0,40
"PIRAQUARA - PR";4231613,60;4224113,60;-7500,00;-0,18
"TUPA - SP";2706861,35;2521744,82;-185116,53;-6,84
"COTRIGUACU - MT";1095085,59;1091505,59;-3580,00;-0,33
"IVOTI - RS";1178170,81;1165131,09;-13039,72;-1,11
"SARANDI - PR";3468166,12;3359003,96;-109162,16;-3,15
"FELIZ NATAL - MT";782646,57;774016,57;-8630,00;-1,10
"ARIQUEMES - RO";5268678,81;5170388,81;-98290,00;-1,87
