"Mun";"entrada/marco/201803.zip";"entrada/abril/201803.zip";"Diff";"Percent"
"MONTE AZUL - MG";2097915,95;2092137,95;-5778,00;-0,28
"CAMPO BELO DO SUL - SC";953706,35;950808,35;-2898,00;-0,30
"SERRA DA RAIZ - PB";866605,73;858325,73;-8280,00;-0,96
"SAO JOSE DO JACURI - MG";978079,54;975271,54;-2808,00;-0,29
"JARDIM DE PIRANHAS - RN";1668394,04;1667098,04;-1296,00;-0,08
"PALMEIRA DAS MISSOES - RS";2650108,47;2563128,99;-86979,48;-3,28
"HORIZONTINA - RS";1566399,69;1565769,69;-630,00;-0,04
"TRES DE MAIO - RS";2159092,49;2145193,15;-13899,34;-0,64
"VIAMAO - RS";9175994,37;9118556,21;-57438,16;-0,63
"PORTO UNIAO - SC";2249024,27;2201410,32;-47613,95;-2,12
"ITAPEMIRIM - ES";12408531,67;12406929,67;-1602,00;-0,01
"NOVO CRUZEIRO - MG";2387989,72;2373336,13;-14653,59;-0,61
"CANGUCU - RS";3826727,60;3755351,74;-71375,86;-1,87
"TRES COROAS - RS";1806838,12;1774423,88;-32414,24;-1,79
"PORTO XAVIER - RS";1248513,41;1247883,41;-630,00;-0,05
"SANTA RITA DO SAPUCAI - MG";2483315,93;2444989,09;-38326,84;-1,54
"ACORIZAL - MT";712710,22;711396,22;-1314,00;-0,18
"SANANDUVA - RS";1154614,47;1154389,47;-225,00;-0,02
"SAO MATEUS - ES";8984481,25;8978424,25;-6057,00;-0,07
"PRAIA GRANDE - SC";685744,74;684412,74;-1332,00;-0,19
"GLORIA DE DOURADOS - MS";1032908,79;1031576,79;-1332,00;-0,13
"ILOPOLIS - RS";656711,90;656063,90;-648,00;-0,10
"BORBA - AM";4321532,84;4314278,84;-7254,00;-0,17
"TRIUNFO - PB";1089955,93;1081639,93;-8316,00;-0,76
"PINHAIS - PR";5863764,49;5857247,22;-6517,27;-0,11
"BERIZAL - MG";811472,25;810149,25;-1323,00;-0,16
"LIZARDA - TO";780246,01;763803,01;-16443,00;-2,11
"ITAMBACURI - MG";2192183,40;2184029,40;-8154,00;-0,37
"POCO FUNDO - MG";1516624,68;1514860,68;-1764,00;-0,12
"LIMEIRA - SP";13553308,97;13549393,97;-3915,00;-0,03
"PONTE NOVA - MG";6804033,43;6799515,43;-4518,00;-0,07
"GUARANTA DO NORTE - MT";3358514,19;3354239,19;-4275,00;-0,13
"SAO JOSE DO RIO PRETO - SP";19252633,74;18718291,81;-534341,93;-2,78
"PASSA E FICA - RN";1489969,62;1488349,62;-1620,00;-0,11
"IAPU - MG";1349727,87;1348395,87;-1332,00;-0,10
"BOM SUCESSO - MG";1662039,97;1649553,58;-12486,39;-0,75
"CRICIUMA - SC";17415784,69;17404327,69;-11457,00;-0,07
"BELEM - PA";140179941,57;79117325,52;-61062616,05;-43,56
"LAJINHA - MG";2040211,36;2027261,00;-12950,36;-0,63
"SAO JOSE DO CAMPESTRE - RN";1578797,71;1576025,71;-2772,00;-0,18
"VARZEA GRANDE - MT";11514852,10;11485100,10;-29752,00;-0,26
"ITAIOPOLIS - SC";1743232,77;1737778,77;-5454,00;-0,31
"REGISTRO - SP";3731321,55;3672202,65;-59118,90;-1,58
"APIACAS - MT";1156308,54;1155633,54;-675,00;-0,06
"MARCELINO VIEIRA - RN";979201,66;969328,66;-9873,00;-1,01
"ITAU - RN";931760,58;930293,58;-1467,00;-0,16
"IBIMIRIM - PE";3406201,14;3403240,14;-2961,00;-0,09
"APUI - AM";1902268,87;1900243,87;-2025,00;-0,11
"AMPARO - SP";4806760,86;4800271,86;-6489,00;-0,13
"PEDRA AZUL - MG";2203328,43;2193928,72;-9399,71;-0,43
"BAEPENDI - MG";1770525,51;1741458,98;-29066,53;-1,64
"PONTALINA - GO";1604064,48;1602678,48;-1386,00;-0,09
"SIMONESIA - MG";1693708,17;1691017,17;-2691,00;-0,16
"CUIABA - MT";76940650,15;53181845,65;-23758804,50;-30,88
