"Mun";"entrada/marco/201403.zip";"entrada/abril/201403.zip";"Diff";"Percent"
"MONTE AZUL - MG";1358744,88;1354972,11;-3772,77;-0,28
"PALMEIRA DAS MISSOES - RS";1632786,20;1600684,94;-32101,26;-1,97
"TRES DE MAIO - RS";1186526,55;1159772,03;-26754,52;-2,25
"VIAMAO - RS";4935196,35;5204721,35;269525,00;5,46
"NOVO CRUZEIRO - MG";1455177,28;1446123,99;-9053,29;-0,62
"TRES COROAS - RS";1131363,77;1108389,99;-22973,78;-2,03
"SANTA RITA DO SAPUCAI - MG";1822382,12;1797147,32;-25234,80;-1,38
"SANANDUVA - RS";761037,80;754012,29;-7025,51;-0,92
"PINHAIS - PR";3488097,92;3476621,21;-11476,71;-0,33
"POCO FUNDO - MG";906599,82;898215,69;-8384,13;-0,92
"BELEM - PA";94751485,99;64636965,35;-30114520,64;-31,78
"VARZEA GRANDE - MT";8011041,13;8002774,57;-8266,56;-0,10
"REGISTRO - SP";2751587,06;2706285,14;-45301,92;-1,65
"MARECHAL CANDIDO RONDON - PR";2237853,47;2169456,47;-68397,00;-3,06
"CUIABA - MT";72354275,04;31533605,69;-40820669,35;-56,42
"SAO JOSE DO OURO - RS";420262,01;405295,88;-14966,13;-3,56
"JAPERI - RJ";6513097,05;6492323,77;-20773,28;-0,32
"CORONEL FABRICIANO - MG";5785915,90;5780490,17;-5425,73;-0,09
"PORTO LUCENA - RS";403639,07;401728,24;-1910,83;-0,47
"FORTALEZA - CE";190351991,65;135552965,33;-54799026,32;-28,79
"GUARAPARI - ES";4630936,28;4626012,45;-4923,83;-0,11
"BRASILIA - DF";554236351,23;476596765,82;-77639585,41;-14,01
"CONDOR - RS";427174,58;425961,57;-1213,01;-0,28
"SAO GABRIEL - RS";1992886,87;1980660,44;-12226,43;-0,61
"MARILIA - SP";10027194,45;9857176,04;-170018,41;-1,70
"SARANDI - RS";1142186,56;1137426,12;-4760,44;-0,42
"SAO SEBASTIAO DO CAI - RS";964798,03;956282,95;-8515,08;-0,88
"PARAISOPOLIS - MG";923847,02;919858,13;-3988,89;-0,43
"UBA - MG";3213287,27;3032257,51;-181029,76;-5,63
"TIMOTEO - MG";2880489,13;2845566,95;-34922,18;-1,21
"TUPA - SP";2310996,78;2218156,54;-92840,24;-4,02
"IVOTI - RS";941025,47;934621,95;-6403,52;-0,68
