"Mun";"entrada/marco/201606.zip";"entrada/abril/201606.zip";"Diff";"Percent"
"PALMEIRA DAS MISSOES - RS";2253846,80;2155926,71;-97920,09;-4,34
"TRES DE MAIO - RS";2530235,64;2489581,78;-40653,86;-1,61
"VIAMAO - RS";7351223,82;7300904,66;-50319,16;-0,68
"SOBRAL - CE";27838385,23;26412785,23;-1425600,00;-5,12
"NOVO CRUZEIRO - MG";2289460,35;2273223,47;-16236,88;-0,71
"CANGUCU - RS";6145420,38;5961702,84;-183717,54;-2,99
"TRES COROAS - RS";2095828,42;2059251,30;-36577,12;-1,75
"SANTA RITA DO SAPUCAI - MG";5034785,21;5007306,04;-27479,17;-0,55
"SANANDUVA - RS";1854958,18;1847932,67;-7025,51;-0,38
"SAO JOSE DO RIO PRETO - SP";19604468,96;19070127,03;-534341,93;-2,73
"BELEM - PA";114306891,17;73013480,17;-41293411,00;-36,13
"LAJINHA - MG";1414236,41;1407649,05;-6587,36;-0,47
"VARZEA GRANDE - MT";10724246,06;10701838,06;-22408,00;-0,21
"REGISTRO - SP";3362645,76;3303526,86;-59118,90;-1,76
"PEDRA AZUL - MG";2371952,42;2362552,71;-9399,71;-0,40
"BAEPENDI - MG";1468514,35;1439447,82;-29066,53;-1,98
"CUIABA - MT";79042436,74;48750465,94;-30291970,80;-38,32
"SAO JOSE DO OURO - RS";1400741,66;1376657,01;-24084,65;-1,72
"PORTO LUCENA - RS";561781,04;558253,72;-3527,32;-0,63
"FORTALEZA - CE";281299735,79;170233058,99;-111066676,80;-39,48
"BRASILIA - DF";167640134,36;102804406,96;-64835727,40;-38,68
"CONDOR - RS";1009181,00;1007967,99;-1213,01;-0,12
"SARANDI - RS";1732090,53;1727330,09;-4760,44;-0,27
"SAO SEBASTIAO DO CAI - RS";1778778,94;1770263,86;-8515,08;-0,48
"PARAISOPOLIS - MG";1537961,15;1530113,90;-7847,25;-0,51
"UBA - MG";6085409,25;5690479,15;-394930,10;-6,49
"TUPA - SP";3017691,33;2833485,63;-184205,70;-6,10
"IVOTI - RS";2127347,99;2114308,27;-13039,72;-0,61
"SARANDI - PR";4699858,70;4590696,54;-109162,16;-2,32
"INHAPIM - MG";2241116,62;2222941,15;-18175,47;-0,81
"BRAGANCA PAULISTA - SP";9077449,67;8786980,78;-290468,89;-3,20
"BAMBUI - MG";1944269,33;1923589,28;-20680,05;-1,06
"PASSO FUNDO - RS";8986983,43;8500953,21;-486030,22;-5,41
"GARCA - SP";3437448,25;3413388,26;-24059,99;-0,70
"JOAO PESSOA - PB";90442431,84;72609775,22;-17832656,62;-19,72
"SANTO CRISTO - RS";1160242,28;1148680,45;-11561,83;-1,00
"FERNANDOPOLIS - SP";3529551,56;3261629,44;-267922,12;-7,59
"FORMIGA - MG";5188891,27;5022344,77;-166546,50;-3,21
"CARPINA - PE";4891699,38;4785548,22;-106151,16;-2,17
"AIURUOCA - MG";821474,96;805155,69;-16319,27;-1,99
"CRUZ ALTA - RS";4495643,65;4030517,49;-465126,16;-10,35
"CARIACICA - ES";11029446,80;10856337,92;-173108,88;-1,57
"SAO LUIS - MA";131477419,38;89173531,90;-42303887,48;-32,18
"SANTA BARBARA DO SUL - RS";876691,45;867029,07;-9662,38;-1,10
"IRAI - RS";1271216,60;1267980,88;-3235,72;-0,25
"CACHOEIRO DE ITAPEMIRIM - ES";10294699,43;9691927,70;-602771,73;-5,86
"POJUCA - BA";3474603,86;3454685,32;-19918,54;-0,57
"NAO-ME-TOQUE - RS";1591353,38;1588298,15;-3055,23;-0,19
"CLEVELANDIA - PR";1398318,86;1392569,87;-5748,99;-0,41
"ALEGRETE - RS";4160405,40;3989353,28;-171052,12;-4,11
"SOROCABA - SP";19608873,13;19320410,56;-288462,57;-1,47
"PUTINGA - RS";1113505,05;1109536,68;-3968,37;-0,36
"IJUI - RS";6644606,03;5638573,33;-1006032,70;-15,14
"CARUARU - PE";17538472,58;17460981,99;-77490,59;-0,44
"RIO GRANDE DO PIAUI - PI";804884,48;774884,48;-30000,00;-3,73
"MONTES CLAROS - MG";14811802,45;13488674,41;-1323128,04;-8,93
