"Mun";"entrada/marco/201603.zip";"entrada/abril/201603.zip";"Diff";"Percent"
"PALMEIRA DAS MISSOES - RS";1762530,11;1664610,02;-97920,09;-5,56
"TRES DE MAIO - RS";1501320,43;1460666,57;-40653,86;-2,71
"VIAMAO - RS";6614087,62;6788318,46;174230,84;2,63
"NOVO CRUZEIRO - MG";1795222,06;1778985,18;-16236,88;-0,90
"CANGUCU - RS";2456829,81;2273112,27;-183717,54;-7,48
"TRES COROAS - RS";1311068,30;1274491,18;-36577,12;-2,79
"SANTA RITA DO SAPUCAI - MG";1790068,99;1762589,82;-27479,17;-1,54
"SANANDUVA - RS";988912,65;981887,14;-7025,51;-0,71
"SAO JOSE DO RIO PRETO - SP";18733800,83;18199458,90;-534341,93;-2,85
"BELEM - PA";101453941,26;72548848,36;-28905092,90;-28,49
"LAJINHA - MG";2069725,60;2063138,24;-6587,36;-0,32
"VARZEA GRANDE - MT";8205148,11;8182740,11;-22408,00;-0,27
"REGISTRO - SP";3336609,05;3277490,15;-59118,90;-1,77
"PEDRA AZUL - MG";1660628,43;1651228,72;-9399,71;-0,57
"BAEPENDI - MG";1691885,06;1662818,53;-29066,53;-1,72
"CUIABA - MT";77768540,78;37560215,32;-40208325,46;-51,70
"SAO JOSE DO OURO - RS";523343,13;499258,48;-24084,65;-4,60
"GURUPI - TO";4887651,14;4873146,65;-14504,49;-0,30
"PORTO LUCENA - RS";469002,46;465475,14;-3527,32;-0,75
"FORTALEZA - CE";244200586,01;148331339,39;-95869246,62;-39,26
"BRASILIA - DF";694548030,05;622941778,05;-71606252,00;-10,31
"CONDOR - RS";521035,40;519822,39;-1213,01;-0,23
"MARILIA - SP";11665848,76;11247024,85;-418823,91;-3,59
"SARANDI - RS";1133362,25;1128601,81;-4760,44;-0,42
"SAO SEBASTIAO DO CAI - RS";1235180,70;1226665,62;-8515,08;-0,69
"PARAISOPOLIS - MG";2591349,52;2583502,27;-7847,25;-0,30
"UBA - MG";3880006,87;3485076,77;-394930,10;-10,18
"TUPA - SP";2700439,28;2517157,32;-183281,96;-6,79
"IVOTI - RS";1178590,40;1165550,68;-13039,72;-1,11
"SARANDI - PR";3368776,87;3225465,04;-143311,83;-4,25
"INHAPIM - MG";1593011,65;1577606,35;-15405,30;-0,97
"BRAGANCA PAULISTA - SP";11654983,70;11364514,81;-290468,89;-2,49
"BAMBUI - MG";1374781,87;1354101,82;-20680,05;-1,50
"PASSO FUNDO - RS";6293639,98;5807609,76;-486030,22;-7,72
"GARCA - SP";2973075,26;2949015,27;-24059,99;-0,81
"JOAO PESSOA - PB";92750532,48;65497954,01;-27252578,47;-29,38
"SANTO CRISTO - RS";889730,02;878168,19;-11561,83;-1,30
"FERNANDOPOLIS - SP";3123076,41;2856056,27;-267020,14;-8,55
"FORMIGA - MG";3887456,12;3720909,62;-166546,50;-4,28
"CARPINA - PE";4049921,62;3943770,46;-106151,16;-2,62
"AIURUOCA - MG";529793,71;513474,44;-16319,27;-3,08
"CRUZ ALTA - RS";3504399,96;3039273,80;-465126,16;-13,27
"CARIACICA - ES";8217343,69;8044234,81;-173108,88;-2,11
"SAO LUIS - MA";118310529,61;70997724,52;-47312805,09;-39,99
"SANTA BARBARA DO SUL - RS";528402,85;518740,47;-9662,38;-1,83
"IRAI - RS";530973,80;527738,08;-3235,72;-0,61
"CACHOEIRO DE ITAPEMIRIM - ES";7344733,77;6741962,04;-602771,73;-8,21
"POJUCA - BA";2916135,38;2896216,84;-19918,54;-0,68
"NAO-ME-TOQUE - RS";1012174,63;1009119,40;-3055,23;-0,30
"CLEVELANDIA - PR";1199766,78;1194017,79;-5748,99;-0,48
"ALEGRETE - RS";3604111,17;3433059,05;-171052,12;-4,75
"SOROCABA - SP";18769908,72;18482903,55;-287005,17;-1,53
