"Mun";"entrada/marco/201509.zip";"entrada/abril/201509.zip";"Diff";"Percent"
"PALMEIRA DAS MISSOES - RS";2283618,26;2252700,65;-30917,61;-1,35
"TRES DE MAIO - RS";1517065,59;1490311,07;-26754,52;-1,76
"VIAMAO - RS";6763656,51;6641393,56;-122262,95;-1,81
"COXILHA - RS";959424,28;949424,28;-10000,00;-1,04
"NOVO CRUZEIRO - MG";2301377,29;2285140,41;-16236,88;-0,71
"NOVA HARTZ - RS";1357200,18;1347200,18;-10000,00;-0,74
"CANGUCU - RS";2628973,93;2422256,39;-206717,54;-7,86
"TRES COROAS - RS";1557459,46;1525907,16;-31552,30;-2,03
"PORTO XAVIER - RS";805259,56;795471,27;-9788,29;-1,22
"SANTA RITA DO SAPUCAI - MG";1588875,60;1561396,43;-27479,17;-1,73
"SANANDUVA - RS";803736,01;796710,50;-7025,51;-0,87
"POCO FUNDO - MG";1049402,24;1044091,89;-5310,35;-0,51
"SAO JOSE DO RIO PRETO - SP";16663456,02;16129114,09;-534341,93;-3,21
"BELEM - PA";84707247,98;67071768,05;-17635479,93;-20,82
"LAJINHA - MG";1957338,06;1950750,70;-6587,36;-0,34
"VARZEA GRANDE - MT";7700708,86;7678300,86;-22408,00;-0,29
"REGISTRO - SP";2940176,16;2881057,26;-59118,90;-2,01
"AMARAL FERRADOR - RS";465099,99;450099,99;-15000,00;-3,23
"PEDRA AZUL - MG";1537639,63;1532792,50;-4847,13;-0,32
"BAEPENDI - MG";1193792,05;1164725,52;-29066,53;-2,43
"CUIABA - MT";65680086,05;35961730,46;-29718355,59;-45,25
"SAO JOSE DO OURO - RS";552963,35;528878,70;-24084,65;-4,36
"GURUPI - TO";4150917,65;4129181,13;-21736,52;-0,52
"PORTO LUCENA - RS";567559,97;565649,14;-1910,83;-0,34
"FORTALEZA - CE";230706868,66;140618888,29;-90087980,37;-39,05
"MUCUM - RS";480554,81;466590,31;-13964,50;-2,91
"BRASILIA - DF";140880613,99;70388078,15;-70492535,84;-50,04
"CONDOR - RS";836994,44;835781,43;-1213,01;-0,14
"SAO GABRIEL - RS";2820150,60;2808150,60;-12000,00;-0,43
"MARILIA - SP";11409851,76;11239833,35;-170018,41;-1,49
"SARANDI - RS";1216891,28;1212130,84;-4760,44;-0,39
"SANTA CRUZ DO SUL - RS";8301852,34;8266891,40;-34960,94;-0,42
"SAO SEBASTIAO DO CAI - RS";1547401,47;1538886,39;-8515,08;-0,55
"PARAISOPOLIS - MG";1129808,07;1121960,82;-7847,25;-0,69
"UBA - MG";3577229,42;3230893,46;-346335,96;-9,68
"TIMOTEO - MG";2603371,68;2568449,50;-34922,18;-1,34
"TUPA - SP";2574216,63;2443679,08;-130537,55;-5,07
"IVOTI - RS";1148459,40;1142055,88;-6403,52;-0,56
"SARANDI - PR";3733213,24;3589901,41;-143311,83;-3,84
"INHAPIM - MG";1619281,67;1603876,37;-15405,30;-0,95
"PORTO ALEGRE DO TOCANTINS - TO";397737,96;393297,47;-4440,49;-1,12
"BRAGANCA PAULISTA - SP";9442517,10;9152048,21;-290468,89;-3,08
"BAMBUI - MG";1424784,66;1404104,61;-20680,05;-1,45
"PASSO FUNDO - RS";6302935,56;5872534,11;-430401,45;-6,83
"BELAGUA - MA";618705,15;603705,15;-15000,00;-2,42
"GARCA - SP";2603758,13;2579698,14;-24059,99;-0,92
"SAO PEDRO DO SUL - RS";967621,73;965175,87;-2445,86;-0,25
"JOAO PESSOA - PB";91178809,74;53451852,76;-37726956,98;-41,38
"VACARIA - RS";3968914,04;3953914,04;-15000,00;-0,38
"SANTO CRISTO - RS";1602549,08;1595662,38;-6886,70;-0,43
"FERNANDOPOLIS - SP";3280396,37;3010000,33;-270396,04;-8,24
"CAMBUI - MG";1674742,10;1670954,51;-3787,59;-0,23
"FORMIGA - MG";3040248,53;2873702,03;-166546,50;-5,48
"CARPINA - PE";3604492,95;3498341,79;-106151,16;-2,94
"AIURUOCA - MG";803897,45;787578,18;-16319,27;-2,03
"CRUZ ALTA - RS";3519178,41;3156163,44;-363014,97;-10,32
"CAMPO ALEGRE DE LOURDES - BA";2486487,59;2467755,59;-18732,00;-0,75
"CARIACICA - ES";7952833,85;7686724,97;-266108,88;-3,35
"SANTIAGO - RS";2343379,27;2286433,36;-56945,91;-2,43
"INOCENCIA - MS";756132,88;741132,88;-15000,00;-1,98
"SAO LUIS - MA";83482152,62;54995836,01;-28486316,61;-34,12
"SANTA BARBARA DO SUL - RS";661771,97;652109,59;-9662,38;-1,46
"BOM DESPACHO - MG";3509944,98;3453703,49;-56241,49;-1,60
"IRAI - RS";1437983,80;1432889,05;-5094,75;-0,35
"DONA FRANCISCA - RS";436125,67;426125,67;-10000,00;-2,29
"CAMPO NOVO - RS";457049,82;444294,77;-12755,05;-2,79
"CACHOEIRO DE ITAPEMIRIM - ES";7294158,09;6811988,29;-482169,80;-6,61
"POJUCA - BA";2755711,82;2735793,28;-19918,54;-0,72
"CAMARGO - RS";398319,58;388607,61;-9711,97;-2,44
"NICOLAU VERGUEIRO - RS";605727,91;595727,91;-10000,00;-1,65
"NAO-ME-TOQUE - RS";1349798,39;1348066,26;-1732,13;-0,13
"CLEVELANDIA - PR";1312856,99;1307108,00;-5748,99;-0,44
"ALEGRETE - RS";3658075,28;3447023,16;-211052,12;-5,77
"SOROCABA - SP";17570002,58;17277542,73;-292459,85;-1,66
"TAUA - CE";4657151,10;4617151,10;-40000,00;-0,86
"FEIRA DE SANTANA - BA";22724952,09;21946336,41;-778615,68;-3,43
"MACAMBARA - RS";579130,68;564130,68;-15000,00;-2,59
"BARAO DE COTEGIPE - RS";495704,02;485008,38;-10695,64;-2,16
"VILA NOVA DO SUL - RS";1117648,55;1102822,85;-14825,70;-1,33
"PUTINGA - RS";816054,11;812085,74;-3968,37;-0,49
"IJUI - RS";4428761,30;3606271,83;-822489,47;-18,57
"JAGUARI - RS";756488,06;746045,39;-10442,67;-1,38
"CACERES - MT";3250495,54;3246628,31;-3867,23;-0,12
"CARUARU - PE";13598330,30;13578098,35;-20231,95;-0,15
"LIMA DUARTE - MG";914819,53;898700,98;-16118,55;-1,76
"ILHEUS - BA";9800217,45;9442561,23;-357656,22;-3,65
"ANDRADAS - MG";1547291,20;1505992,66;-41298,54;-2,67
"BOA VISTA - RR";51257468,02;31124924,51;-20132543,51;-39,28
"SENTINELA DO SUL - RS";387876,36;372876,36;-15000,00;-3,87
"CAMPANHA - MG";874936,71;870735,92;-4200,79;-0,48
"BAGE - RS";4664134,99;4373627,36;-290507,63;-6,23
"ITAPETIM - PE";1432015,20;1404015,20;-28000,00;-1,96
"SAO JERONIMO - RS";1434178,34;1402273,84;-31904,50;-2,22
"VILA VELHA - ES";10013450,75;9888162,94;-125287,81;-1,25
"SERRINHA - RN";1012090,68;992090,68;-20000,00;-1,98
"EREBANGO - RS";443927,48;433927,48;-10000,00;-2,25
"RIO PARDO - RS";2110207,50;2076207,50;-34000,00;-1,61
"ESPLANADA - BA";2768503,77;2742353,27;-26150,50;-0,94
"PEDRA LAVRADA - PB";772605,85;766105,85;-6500,00;-0,84
"CHAVANTES - SP";727353,45;722306,19;-5047,26;-0,69
"LAGOA BONITA DO SUL - RS";384064,73;374064,73;-10000,00;-2,60
